Kind,Name,File,MaxNesting,PercentLackOfCohesion,MaxInheritanceTree,SumCyclomatic,CountClassDerived,CountClassBase,CountClassCoupled
Public Method,"yahoofinance.query2v8.HistQuotesQuery2V8Request.getJson",HistQuotesQuery2V8Request.java,2,,,4,,,
Public Method,"yahoofinance.query2v8.HistQuotesQuery2V8Request.getResult",HistQuotesQuery2V8Request.java,1,,,2,,,
Package,"yahoofinance.quotes",,0,,,0,,,
Package,"yahoofinance.quotes.csv",FxQuotesRequest.java,3,,,33,,,
Public Class,"yahoofinance.quotes.csv.FxQuotesRequest",FxQuotesRequest.java,1,0,2,3,0,1,9
Public Constructor,"yahoofinance.quotes.csv.FxQuotesRequest.FxQuotesRequest",FxQuotesRequest.java,0,,,1,,,
Protected Method,"yahoofinance.quotes.csv.FxQuotesRequest.parseCSVLine",FxQuotesRequest.java,1,,,2,,,
Public Enum Type,"yahoofinance.quotes.csv.QuotesProperty",QuotesProperty.java,0,,1,2,0,1,1
Constructor,"yahoofinance.quotes.csv.QuotesProperty.QuotesProperty",QuotesProperty.java,0,,,1,,,
Public Method,"yahoofinance.quotes.csv.QuotesProperty.getTag",QuotesProperty.java,0,,,1,,,
Public Implicit Method,"yahoofinance.quotes.csv.QuotesProperty.valueOf",QuotesProperty.java,,,,0,,,
Public Implicit Method,"yahoofinance.quotes.csv.QuotesProperty.values",QuotesProperty.java,,,,0,,,
Public Abstract Generic Class,"yahoofinance.quotes.csv.QuotesRequest",QuotesRequest.java,2,50,1,11,2,1,17
Public Constructor,"yahoofinance.quotes.csv.QuotesRequest.QuotesRequest",QuotesRequest.java,0,,,1,,,
Generic Parameter,"yahoofinance.quotes.csv.QuotesRequest.T",QuotesRequest.java,0,0,1,0,0,1,0
Private Method,"yahoofinance.quotes.csv.QuotesRequest.getFieldsString",QuotesRequest.java,1,,,2,,,
Public Method,"yahoofinance.quotes.csv.QuotesRequest.getProperties",QuotesRequest.java,0,,,1,,,
Public Method,"yahoofinance.quotes.csv.QuotesRequest.getQuery",QuotesRequest.java,0,,,1,,,
Public Method,"yahoofinance.quotes.csv.QuotesRequest.getResult",QuotesRequest.java,2,,,3,,,
Public Method,"yahoofinance.quotes.csv.QuotesRequest.getSingleResult",QuotesRequest.java,1,,,2,,,
Protected Abstract Method,"yahoofinance.quotes.csv.QuotesRequest.parseCSVLine",QuotesRequest.java,0,,,0,,,
Public Method,"yahoofinance.quotes.csv.QuotesRequest.setProperties",QuotesRequest.java,0,,,1,,,
Public Class,"yahoofinance.quotes.csv.StockQuotesData",StockQuotesData.java,1,67,1,7,0,1,11
Public Constructor,"yahoofinance.quotes.csv.StockQuotesData.StockQuotesData",StockQuotesData.java,0,,,1,,,
